date,No. of Veh,Service interval,Run time (min),Term time (min),Avg. spd (km/h),Time of Day (morning: 0-late evening: 4)*,Weekday=0/Sat=1/Sun=2,RT dist (km),Interruption,time period start,time period end,EB/WB,stop,bunch,gap,"delay time (5,19]","delay time (19,120]"
2025-01-05,13,10:00,119,11,15.2,0,2,30.13,0,2025-01-05 04:00:00,2025-01-05 08:00:00,E,Logan Ave,0,0,0,0
2025-01-05,13,10:00,119,11,15.2,0,2,30.13,0,2025-01-05 04:00:00,2025-01-05 08:00:00,E,Augusta Ave,0,0,0,0
2025-01-05,13,10:00,119,11,15.2,0,2,30.13,0,2025-01-05 04:00:00,2025-01-05 08:00:00,E,Beverley St,0,0,0,0
2025-01-05,13,10:00,119,11,15.2,0,2,30.13,0,2025-01-05 04:00:00,2025-01-05 08:00:00,E,University Ave (Queen's Park Station,0,0,0,0
2025-01-05,13,10:00,119,11,15.2,0,2,30.13,0,2025-01-05 04:00:00,2025-01-05 08:00:00,E,Elizabeth St,0,0,0,0
2025-01-05,13,10:00,119,11,15.2,0,2,30.13,0,2025-01-05 04:00:00,2025-01-05 08:00:00,E,Greenwood Ave,0,0,0,0
2025-01-05,13,10:00,119,11,15.2,0,2,30.13,0,2025-01-05 04:00:00,2025-01-05 08:00:00,E,Alton Ave,0,0,0,0
2025-01-05,13,10:00,119,11,15.2,0,2,30.13,0,2025-01-05 04:00:00,2025-01-05 08:00:00,E,Coxwell Ave,0,0,0,0
2025-01-05,13,10:00,119,11,15.2,0,2,30.13,0,2025-01-05 04:00:00,2025-01-05 08:00:00,E,Gerrard St East  at Coxwell Ave,0,0,0,0
2025-01-05,13,10:00,119,11,15.2,0,2,30.13,0,2025-01-05 04:00:00,2025-01-05 08:00:00,E,Coxwell Ave at Lower Gerrard St East,0,0,0,0
2025-01-05,13,10:00,119,11,15.2,0,2,30.13,0,2025-01-05 04:00:00,2025-01-05 08:00:00,E,Ashdale Ave,0,0,0,0
2025-01-05,13,10:00,119,11,15.2,0,2,30.13,0,2025-01-05 04:00:00,2025-01-05 08:00:00,E,Howard Park Ave at Indian Rd,0,0,0,0
2025-01-05,13,10:00,119,11,15.2,0,2,30.13,0,2025-01-05 04:00:00,2025-01-05 08:00:00,E,Dundas St West at Howard Park Ave,0,0,0,0
2025-01-05,13,10:00,119,11,15.2,0,2,30.13,0,2025-01-05 04:00:00,2025-01-05 08:00:00,E,Main St at Gerrard St East,0,0,0,0
2025-01-05,13,10:00,119,11,15.2,0,2,30.13,0,2025-01-05 04:00:00,2025-01-05 08:00:00,E,Main St,0,0,0,0
2025-01-05,13,10:00,119,11,15.2,0,2,30.13,0,2025-01-05 04:00:00,2025-01-05 08:00:00,E,Main St at Danforth Ave,0,0,0,0
2025-01-05,13,10:00,119,11,15.2,0,2,30.13,0,2025-01-05 04:00:00,2025-01-05 08:00:00,E,Howard Park Ave at Parkside Dr,0,0,0,0
2025-01-05,13,10:00,119,11,15.2,0,2,30.13,0,2025-01-05 04:00:00,2025-01-05 08:00:00,W,Woodfield Rd,0,0,0,0
2025-01-05,13,10:00,119,11,15.2,0,2,30.13,0,2025-01-05 04:00:00,2025-01-05 08:00:00,W,Coxwell Ave at Gerrard St East,0,0,0,0
2025-01-05,13,10:00,119,11,15.2,0,2,30.13,0,2025-01-05 04:00:00,2025-01-05 08:00:00,W,Euclid Ave,0,0,0,0
2025-01-05,13,10:00,119,11,15.2,0,2,30.13,0,2025-01-05 04:00:00,2025-01-05 08:00:00,W,Bowmore Rd,0,0,0,0
2025-01-05,13,10:00,119,11,15.2,0,2,30.13,0,2025-01-05 04:00:00,2025-01-05 08:00:00,W,Bay St,0,0,0,0
