,date,No. of Veh,Service interval,Run time (min),Term time (min),Avg. spd (km/h),Time of Day (morning: 0-late evening: 4)*,Weekday=0/Sat=1/Sun=2,RT dist (km),First dep NB or WB,First dep SB or EB,Last dep NB or WB,Last dep SB or EB,Route,Interruption,time period start,time period end
10,2023-01-24,18,09:00,150,12,13.0,0,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-24 04:00:00,2023-01-24 09:00:00
10,2023-01-24,18,09:30,156,15,12.5,1,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-24 09:00:00,2023-01-24 15:00:00
10,2023-01-24,21,09:00,176,13,11.1,2,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-24 15:00:00,2023-01-24 19:00:00
10,2023-01-24,15,10:00,136,14,14.4,3,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-24 19:00:00,2023-01-24 22:00:00
10,2023-01-24,13,10:00,116,14,16.8,4,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-24 22:00:00,2023-01-25 04:00:00
11,2023-01-25,18,09:00,150,12,13.0,0,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-25 04:00:00,2023-01-25 09:00:00
11,2023-01-25,18,09:30,156,15,12.5,1,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-25 09:00:00,2023-01-25 15:00:00
11,2023-01-25,21,09:00,176,13,11.1,2,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-25 15:00:00,2023-01-25 19:00:00
11,2023-01-25,15,10:00,136,14,14.4,3,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-25 19:00:00,2023-01-25 22:00:00
11,2023-01-25,13,10:00,116,14,16.8,4,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-25 22:00:00,2023-01-26 04:00:00
12,2023-01-26,18,09:00,150,12,13.0,0,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-26 04:00:00,2023-01-26 09:00:00
12,2023-01-26,18,09:30,156,15,12.5,1,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-26 09:00:00,2023-01-26 15:00:00
12,2023-01-26,21,09:00,176,13,11.1,2,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-26 15:00:00,2023-01-26 19:00:00
12,2023-01-26,15,10:00,136,14,14.4,3,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-26 19:00:00,2023-01-26 22:00:00
12,2023-01-26,13,10:00,116,14,16.8,4,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-26 22:00:00,2023-01-27 04:00:00
13,2023-01-27,18,09:00,150,12,13.0,0,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-27 04:00:00,2023-01-27 09:00:00
13,2023-01-27,18,09:30,156,15,12.5,1,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-27 09:00:00,2023-01-27 15:00:00
13,2023-01-27,21,09:00,176,13,11.1,2,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-27 15:00:00,2023-01-27 19:00:00
13,2023-01-27,15,10:00,136,14,14.4,3,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-27 19:00:00,2023-01-27 22:00:00
13,2023-01-27,13,10:00,116,14,16.8,4,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-27 22:00:00,2023-01-28 04:00:00
14,2023-01-28,12,10:00,106,14,18.4,0,1,32.56,05:15,06:00,01:46,01:05,506 High Park-Main Street Stn ,,2023-01-28 04:00:00,2023-01-28 08:00:00
14,2023-01-28,16,09:30,138,14,14.2,1,1,32.56,05:15,06:00,01:46,01:05,506 High Park-Main Street Stn ,,2023-01-28 08:00:00,2023-01-28 12:00:00
14,2023-01-28,20,08:30,156,14,12.5,2,1,32.56,05:15,06:00,01:46,01:05,506 High Park-Main Street Stn ,,2023-01-28 12:00:00,2023-01-28 19:00:00
14,2023-01-28,15,10:00,134,16,14.6,3,1,32.56,05:15,06:00,01:46,01:05,506 High Park-Main Street Stn ,,2023-01-28 19:00:00,2023-01-28 22:00:00
14,2023-01-28,14,10:00,130,10,15.0,4,1,32.56,05:15,06:00,01:46,01:05,506 High Park-Main Street Stn ,,2023-01-28 22:00:00,2023-01-29 04:00:00
15,2023-01-29,11,10:00,102,8,19.2,0,2,32.56,05:15,06:00,01:18,00:45,506 High Park-Main Street Stn ,,2023-01-29 04:00:00,2023-01-29 08:00:00
15,2023-01-29,14,10:00,130,10,15.0,1,2,32.56,05:15,06:00,01:18,00:45,506 High Park-Main Street Stn ,,2023-01-29 08:00:00,2023-01-29 12:00:00
15,2023-01-29,18,09:00,148,14,13.2,2,2,32.56,05:15,06:00,01:18,00:45,506 High Park-Main Street Stn ,,2023-01-29 12:00:00,2023-01-29 19:00:00
15,2023-01-29,14,09:30,122,11,16.0,3,2,32.56,05:15,06:00,01:18,00:45,506 High Park-Main Street Stn ,,2023-01-29 19:00:00,2023-01-29 22:00:00
15,2023-01-29,13,09:30,114,9,17.1,4,2,32.56,05:15,06:00,01:18,00:45,506 High Park-Main Street Stn ,,2023-01-29 22:00:00,2023-01-30 04:00:00
16,2023-01-30,18,09:00,150,12,13.0,0,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-30 04:00:00,2023-01-30 09:00:00
16,2023-01-30,18,09:30,156,15,12.5,1,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-30 09:00:00,2023-01-30 15:00:00
16,2023-01-30,21,09:00,176,13,11.1,2,0,32.56,05:15,06:06,01:52,00:50,506 High Park-Main Street Stn ,,2023-01-30 15:00:00,2023-01-30 19:00:00
