date,No. of Veh,Service interval,Run time (min),Term time (min),Avg. spd (km/h),Time of Day (morning: 0-late evening: 4)*,Weekday=0/Sat=1/Sun=2,RT dist (km),Interruption,time period start,time period end,EB/WB,bunch,total delay,gap
datetime64[us],int64,str,int64,int64,float64,int64,int64,float64,int64,datetime64[us],datetime64[us],str,int64,float64,int64
2025-02-04 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-04 15:00:00,2025-02-04 19:00:00,E,75,2956.266666666667,87
2025-02-04 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-04 15:00:00,2025-02-04 19:00:00,W,27,2691.9666666666667,41
2025-02-05 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-05 15:00:00,2025-02-05 19:00:00,E,38,1857.0166666666667,118
2025-02-05 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-05 15:00:00,2025-02-05 19:00:00,W,19,1282.6,49
2025-02-06 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-06 15:00:00,2025-02-06 19:00:00,E,106,5031.466666666666,214
2025-02-06 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-06 15:00:00,2025-02-06 19:00:00,W,14,1382.4666666666667,39
2025-02-07 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-07 15:00:00,2025-02-07 19:00:00,E,177,12520.783333333333,208
2025-02-07 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-07 15:00:00,2025-02-07 19:00:00,W,16,2881.25,53
2025-02-10 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-10 15:00:00,2025-02-10 19:00:00,E,70,333.51666666666665,36
2025-02-10 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-10 15:00:00,2025-02-10 19:00:00,W,13,380.81666666666666,26
2025-02-11 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-11 15:00:00,2025-02-11 19:00:00,E,145,7672.45,199
2025-02-11 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-11 15:00:00,2025-02-11 19:00:00,W,19,1569.8333333333333,36
2025-02-12 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-12 15:00:00,2025-02-12 19:00:00,E,136,10280.933333333332,206
2025-02-12 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-12 15:00:00,2025-02-12 19:00:00,W,24,3603.15,50
2025-02-13 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-13 15:00:00,2025-02-13 19:00:00,E,143,9043.9,260
2025-02-13 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-13 15:00:00,2025-02-13 19:00:00,W,42,1543.2333333333333,62
2025-02-14 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-14 15:00:00,2025-02-14 19:00:00,E,72,11356.283333333333,203
2025-02-14 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-14 15:00:00,2025-02-14 19:00:00,W,6,2408.733333333333,56
2025-02-17 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-17 15:00:00,2025-02-17 19:00:00,E,137,11529.616666666667,118
2025-02-17 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-17 15:00:00,2025-02-17 19:00:00,W,75,2516.5333333333333,85
2025-02-18 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-18 15:00:00,2025-02-18 19:00:00,E,17,5261.75,188
2025-02-18 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-18 15:00:00,2025-02-18 19:00:00,W,22,2657.733333333333,69
2025-02-19 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-19 15:00:00,2025-02-19 19:00:00,E,33,4418.066666666667,183
2025-02-19 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-19 15:00:00,2025-02-19 19:00:00,W,19,2433.7833333333333,52
2025-02-20 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-20 15:00:00,2025-02-20 19:00:00,E,84,6493.966666666666,169
2025-02-20 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-20 15:00:00,2025-02-20 19:00:00,W,16,1749.1166666666666,68
2025-02-21 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-21 15:00:00,2025-02-21 19:00:00,E,116,12690.233333333334,207
2025-02-21 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-21 15:00:00,2025-02-21 19:00:00,W,39,4369.233333333334,38
2025-02-24 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-24 15:00:00,2025-02-24 19:00:00,E,169,9823.6,212
2025-02-24 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-24 15:00:00,2025-02-24 19:00:00,W,41,3535.1833333333334,40
2025-02-25 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-25 15:00:00,2025-02-25 19:00:00,E,96,16604.15,170
2025-02-25 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-25 15:00:00,2025-02-25 19:00:00,W,30,2803.7833333333333,55
2025-02-26 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-26 15:00:00,2025-02-26 19:00:00,E,61,10954.933333333332,170
2025-02-26 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-02-26 15:00:00,2025-02-26 19:00:00,W,23,4176.8,68
