date,No. of Veh,Service interval,Run time (min),Term time (min),Avg. spd (km/h),Time of Day (morning: 0-late evening: 4)*,Weekday=0/Sat=1/Sun=2,RT dist (km),Interruption,time period start,time period end,EB/WB,bunch,total delay,gap
2025-08-10,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-08-10 22:00:00,2025-08-11 04:00:00,E,214,4474.983333333334,282
2025-08-10,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-08-10 22:00:00,2025-08-11 04:00:00,W,43,861.9833333333333,84
2025-08-17,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-08-17 22:00:00,2025-08-18 04:00:00,E,106,5150.75,103
2025-08-17,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-08-17 22:00:00,2025-08-18 04:00:00,W,76,3175.983333333333,105
2025-08-24,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-08-24 22:00:00,2025-08-25 04:00:00,E,126,9815.0,115
2025-08-24,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-08-24 22:00:00,2025-08-25 04:00:00,W,116,4789.783333333333,172
2025-08-31,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-08-31 22:00:00,2025-09-01 04:00:00,E,93,3761.6833333333334,157
2025-08-31,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-08-31 22:00:00,2025-09-01 04:00:00,W,15,890.1,51
2025-09-07,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-09-07 22:00:00,2025-09-08 04:00:00,E,98,2645.0333333333333,99
2025-09-07,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-09-07 22:00:00,2025-09-08 04:00:00,W,18,762.4333333333333,15
2025-09-14,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-09-14 22:00:00,2025-09-15 04:00:00,E,92,2628.2166666666667,101
2025-09-14,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-09-14 22:00:00,2025-09-15 04:00:00,W,19,626.65,24
2025-09-21,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-09-21 22:00:00,2025-09-22 04:00:00,E,144,2952.233333333333,146
2025-09-21,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-09-21 22:00:00,2025-09-22 04:00:00,W,35,630.2833333333333,27
2025-09-28,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-09-28 22:00:00,2025-09-29 04:00:00,E,160,2554.5,121
2025-09-28,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-09-28 22:00:00,2025-09-29 04:00:00,W,29,294.98333333333335,11
2025-10-05,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-10-05 22:00:00,2025-10-06 04:00:00,E,106,1958.65,44
2025-10-05,14.0,10:00,123.0,17.0,14.7,4,2,30.13,0,2025-10-05 22:00:00,2025-10-06 04:00:00,W,18,660.1333333333333,21
2025-10-12,15.0,10:00,144.0,6.0,13.5,4,2,32.49,1,2025-10-12 22:00:00,2025-10-13 04:00:00,E,10,195.18333333333334,168
2025-10-12,15.0,10:00,144.0,6.0,13.5,4,2,32.49,1,2025-10-12 22:00:00,2025-10-13 04:00:00,W,6,81.73333333333333,40
2025-10-19,15.0,10:00,144.0,6.0,13.5,4,2,32.49,1,2025-10-19 22:00:00,2025-10-20 04:00:00,E,84,575.0166666666667,51
2025-10-19,15.0,10:00,144.0,6.0,13.5,4,2,32.49,1,2025-10-19 22:00:00,2025-10-20 04:00:00,W,17,34.21666666666667,9
2025-10-26,15.0,10:00,144.0,6.0,13.5,4,2,32.49,1,2025-10-26 22:00:00,2025-10-27 04:00:00,E,110,2175.766666666667,79
2025-10-26,15.0,10:00,144.0,6.0,13.5,4,2,32.49,1,2025-10-26 22:00:00,2025-10-27 04:00:00,W,21,22.75,30
2025-11-02,15.0,10:00,144.0,6.0,13.5,4,2,32.49,1,2025-11-02 22:00:00,2025-11-03 04:00:00,E,133,165.65,112
2025-11-02,15.0,10:00,144.0,6.0,13.5,4,2,32.49,1,2025-11-02 22:00:00,2025-11-03 04:00:00,W,17,142.38333333333333,22
2025-11-09,15.0,10:00,144.0,6.0,13.5,4,2,32.49,1,2025-11-09 22:00:00,2025-11-10 04:00:00,E,119,266.51666666666665,19
2025-11-09,15.0,10:00,144.0,6.0,13.5,4,2,32.49,1,2025-11-09 22:00:00,2025-11-10 04:00:00,W,24,48.5,10
2025-11-16,15.0,10:00,144.0,6.0,13.5,4,2,32.49,1,2025-11-16 22:00:00,2025-11-17 04:00:00,E,117,510.03333333333336,97
2025-11-16,15.0,10:00,144.0,6.0,13.5,4,2,32.49,1,2025-11-16 22:00:00,2025-11-17 04:00:00,W,30,76.08333333333333,31
2025-11-23,15.0,10:00,144.0,6.0,13.5,4,2,32.49,1,2025-11-23 22:00:00,2025-11-24 04:00:00,E,141,1976.6333333333334,90
2025-11-23,15.0,10:00,144.0,6.0,13.5,4,2,32.49,1,2025-11-23 22:00:00,2025-11-24 04:00:00,W,20,344.31666666666666,12
2025-11-30,15.0,10:00,144.0,6.0,13.5,4,2,32.49,1,2025-11-30 22:00:00,2025-12-01 04:00:00,E,156,1123.8166666666666,75
2025-11-30,15.0,10:00,144.0,6.0,13.5,4,2,32.49,1,2025-11-30 22:00:00,2025-12-01 04:00:00,W,29,448.4,12
2025-12-07,15.0,10:00,144.0,6.0,13.5,4,2,32.49,1,2025-12-07 22:00:00,2025-12-08 04:00:00,E,135,488.46666666666664,79
2025-12-07,15.0,10:00,144.0,6.0,13.5,4,2,32.49,1,2025-12-07 22:00:00,2025-12-08 04:00:00,W,17,97.45,27
2025-12-14,15.0,10:00,144.0,6.0,13.5,4,2,32.49,1,2025-12-14 22:00:00,2025-12-15 04:00:00,E,195,635.6,67
2025-12-14,15.0,10:00,144.0,6.0,13.5,4,2,32.49,1,2025-12-14 22:00:00,2025-12-15 04:00:00,W,20,86.16666666666667,8
