date,No. of Veh,Service interval,Run time (min),Term time (min),Avg. spd (km/h),Time of Day (morning: 0-late evening: 4)*,Weekday=0/Sat=1/Sun=2,RT dist (km),Interruption,time period start,time period end,EB/WB,stop,bunch,gap,"delay time (5,19]","delay time (19,120]"
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Ashdale Ave,2,5,6,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Sackville St,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Glenmount Park Rd,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Borden St,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Leslie St,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Woodfield Rd,2,4,6,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Dundas St West at Howard Park Ave,2,5,3,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Rusholme Park Cres,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Norwood Rd,0,0,0,0
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,St Matthews Rd,2,5,4,1
2024-08-04,15,10:00,141,9,12.8,1,2,30.13,0,2024-08-04 08:00:00,2024-08-04 12:00:00,W,Sumach St,0,0,0,0
