date,No. of Veh,Service interval,Run time (min),Term time (min),Avg. spd (km/h),Time of Day (morning: 0-late evening: 4)*,Weekday=0/Sat=1/Sun=2,RT dist (km),Interruption,time period start,time period end,EB/WB,stop,bunch,gap,total delay
datetime64[ns],int64,object,int64,int64,float64,int64,int64,float64,int64,datetime64[ns],datetime64[ns],object,object,int64,int64,float64
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Greenwood Ave,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Alton Ave,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Coxwell Ave,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Gerrard St East  at Coxwell Ave,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Coxwell Ave at Lower Gerrard St East,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Ashdale Ave,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Howard Park Ave at Indian Rd,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Dundas St West at Howard Park Ave,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Main St at Gerrard St East,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Main St,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Main St at Danforth Ave,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,E,Howard Park Ave at Parkside Dr,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,Woodfield Rd,0,3,-14.633333333333333
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,Coxwell Ave at Gerrard St East,0,3,-6.683333333333334
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,Euclid Ave,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,Bowmore Rd,0,3,-20.316666666666666
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,Bay St,1,3,-26.516666666666666
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,Lansdowne Ave,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,Indian Rd,3,3,-60.75
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,Grace St,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,Dufferin St,3,4,-83.26666666666667
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,Gerrard St East at Beaton Ave,0,4,-7.283333333333333
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,Bathurst St,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,Yonge St - College Station,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,Dundas St West at Sterling Rd,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,Brock Ave,0,0,0.0
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,Sackville St,2,4,-54.88333333333333
2025-01-04 00:00:00,15,10:00,139,11,13.0,4,1,30.13,0,2025-01-04 22:00:00,2025-01-05 04:00:00,W,Carlaw Ave,0,0,0.0
